cod_producto_comercial;cod_modalidad;fec_alta;cod_ambito;fec_creacion;fec_actualizacion
LOHXN1;DOURUA;2024-01-19 00:00:00;136;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;137;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;139;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;140;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;141;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;142;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;143;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;144;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;145;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;146;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;147;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;148;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;149;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;150;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;101;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;102;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;103;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;104;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;105;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;106;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;107;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;108;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;109;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;110;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;111;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;112;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;113;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;114;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;115;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;116;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;117;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;118;2024-01-19 00:00:00;2024-01-19 00:00:00
